case_id,p0,p1,Y,Y_hat
C3L-03639,0.57224303,0.42775697,0,0
C3N-03665,0.46340638,0.5365936,1,1
C3L-04495,0.49038118,0.5096188,0,1
C3L-01051,0.5840076,0.41599235,0,0
C3N-01716,0.5392757,0.4607243,0,0
C3L-03632,0.53037745,0.46962255,0,0
C3L-01687,0.52776253,0.47223744,0,0
C3N-02573,0.5491405,0.4508595,1,0
C3N-03173,0.5928978,0.40710226,0,0
C3N-03173,0.53729236,0.4627076,0,0
C3N-02589,0.56633085,0.43366915,0,0
C3N-03754,0.57722616,0.42277384,0,0
C3L-02606,0.55218166,0.44781834,0,0
C3N-00512,0.5698284,0.43017158,0,0
C3L-02109,0.5802164,0.4197836,0,0
C3N-01381,0.5651655,0.43483448,0,0
C3N-01012,0.58555764,0.41444236,0,0
C3N-03086,0.5132238,0.48677617,0,0
C3L-04479,0.5502583,0.4497417,0,0
C3L-01031,0.59992963,0.40007037,0,0
C3L-01662,0.580063,0.41993704,0,0
C3N-00516,0.523173,0.476827,0,0
C3N-04119,0.54634035,0.45365968,1,0
C3N-03670,0.51995623,0.48004374,0,0
C3L-00189,0.5660749,0.4339251,0,0
C3L-00102,0.55509174,0.44490823,0,0
C3N-03211,0.49255538,0.5074446,0,1
C3N-02590,0.4812752,0.5187248,1,1
C3N-00436,0.55464435,0.44535565,0,0
C3L-02809,0.5505152,0.44948483,0,0
C3N-01375,0.5477215,0.45227852,0,0
C3L-04475,0.48893052,0.5110695,0,1
C3L-02613,0.5566357,0.44336432,0,0
C3N-03440,0.52918655,0.47081345,0,0
C3N-02579,0.54548836,0.45451164,0,0
C3L-02112,0.5758494,0.42415056,1,0
C3L-02112,0.58255094,0.41744906,1,0
C3L-04027,0.5586898,0.44131023,0,0
C3L-04027,0.54807925,0.45192075,0,0
C3L-00401,0.48353827,0.51646173,0,1
C3N-02592,0.543496,0.45650396,0,0
C3N-02971,0.5730684,0.42693162,0,0
C3L-00102,0.57052577,0.4294742,0,0
C3N-01167,0.59926265,0.40073735,1,0
C3N-03007,0.59246427,0.40753573,0,0
C3L-03743,0.5608613,0.4391387,0,0
C3N-02997,0.60716534,0.39283466,0,0
C3N-03190,0.55365723,0.44634277,0,0
C3L-00599,0.49433446,0.50566554,0,1
C3N-01165,0.55467355,0.44532648,0,0
C3L-04473,0.55756366,0.44243637,0,0
C3L-02809,0.56456435,0.43543568,0,0
C3L-00017,0.5664912,0.4335088,0,0
C3L-00017,0.6146778,0.3853222,0,0
C3N-03853,0.5594576,0.4405424,0,0
C3N-01714,0.5719646,0.4280354,0,0
C3L-03388,0.5218588,0.47814122,0,0
C3L-00598,0.551571,0.44842902,0,0
C3N-01011,0.5755681,0.4244319,0,0
C3N-01011,0.5670104,0.4329896,0,0
C3N-02585,0.5387746,0.46122542,1,0
C3L-03356,0.51793313,0.48206687,0,0
C3N-02295,0.547244,0.452756,0,0
C3L-02613,0.6216458,0.37835422,0,0
C3N-00518,0.58550644,0.41449356,1,0
C3N-00518,0.6024704,0.39752957,1,0
C3N-01715,0.57860744,0.42139253,0,0
C3N-03440,0.50940377,0.49059623,0,0
C3N-01380,0.54943645,0.45056358,0,0
C3L-04848,0.5724286,0.4275714,0,0
C3N-04282,0.5310122,0.4689878,0,0
C3L-03628,0.55235136,0.44764867,0,0
C3N-00302,0.5811597,0.41884032,0,0
C3N-00513,0.5532602,0.44673976,0,0
C3L-04475,0.5847674,0.4152326,0,0
C3L-03743,0.59906226,0.40093774,0,0
C3L-01052,0.56989866,0.43010134,0,0
